“บก.ลายจุด” เผย ธนาธรจึงรุ่งเรืองกิจ เคยอาสาช่วยเหลือบรรเทาทุกข์ช่วงน้ำท่วมใหญ่ปี 54,1
เตือนรีบใช้สิทธิลงทะเบียนเลือกตั้งล่วงหน้า หากวันเลือกตั้ง 24 มี.ค.ไม่สามารถไปใช้สิทธิ์  ได้  • ปิดทะเบียน 19 ก.พ.นี้  • ใช้สิทธิ์เลือกตั้งล่วงหน้า 17 มี.ค.• ลงทะเบียนทางอินเทอร์เน็ตได้ที่ =&gt; จะได้ไม่เสียสิทธิและถูกจำกัดสิทธิ์ 5 ประการ,1
สุดารัตน์ควงจินนี่ลงพื้นที่สยามสแควร์ เผย 27 ปีในการเมืองไม่เคยเจอรัฐบาลใช้อำนาจเต็มรูปแบบช่วงเลือกตั้งอ่านต่อที่ภาพ: ฐานิส สุดโต,1
ใครไม่ทำคุณยายทำค่ะ ออกTalk Showของฟรีทีวี มีทั้ง คุณธนาธร + คุณหญิงหน่อย + คุณอภิสิทธิ์ สัปดาห์หน้ารอดูเลยค่ะ วันเสาร์ 22.30 ช่องone31,1
อันนี้ผู้สมัคร  บางเขน เดินหาเสียงคนเดียว กี่โพสๆ นางก็ขอรูปจากแม่ค้าไม่มีกล้องตาม  อาจจะไม่มีเครื่องเสียงตะโกนปาวๆ แต่ได้คุยแลกเปลี่ยนความคิดกับปชช. จริงๆ แถมโปรไฟล์โอเคเลย,1
สาเหตุนึงที่เราชื่นชอบคุณธนาธร ก็เรื่องที่ลูกน้องเค้าเล่ามา (จริงๆเห็นหลายคอมเม้นแล้ว)นางเป็นผู้นำองค์กรที่เข้าอกเข้าใจลูกน้องกลุ่มแรงงานได้อย่างลึกซึ้ง แถมยังตั้งใจพัฒนาองค์กรจนเป็นบริษัทอุตสาหกรรมแถวหน้าเราว่าเค้ามาลงการเมืองก็มาด้วยใจจริงๆ,1
ผู้สมัครเบอร์​ 7​ เขต22 บางกอกใหญ่​ คลองสาน​ ชื่อเท่าภิภพ​ คนนี้หาเสียงแบบดีนะ​ เดินเท้า​หรือขี่จักรยานไป​ รักษ์โลกสุดๆ​ ไม่ทำรถติดด้วย พอเจอคนก็หยุดพูดนโยบาย​ เออ​ ดูเข้าถึงง่ายดี ​     เพราะนโยบายของพ่อ,1
เพลงแปลงในตำนาน55555555555 เทยเที่ยวไทย,1
ป้าแม่ค้า :  สู้เค้าให้ได้นะ !!!!!  พ่อ :  สู้อยู่แล้วครับ สู้อยู่แล้ว  สู้ !!เพราะนโยบายของพ่อ,1
ภาพจากผู้สมัครจากพรรค เสรีรวมไทย ยอมรับว่าแหวก และ ฉีกมาก ให้คะแนนด้านความคิดสร้างสรรค์ อย่างน้อยในบรรดาผู้สมัครหน้าใหม่ เราก็จำชื่อ ภูวพัฒน์ ได้ละ แต่จะเลือกไหม ก็ต้องรอดูผลงานเป็นหลัก,1
ถ้าไม่อคติ  นี่แม่งเต็มไปด้วยคนรุ่นใหม่ที่ประสบความสำเร็จในชีวิตโดยไม่ได้รวยจากการเล่นการเมืองเต็มหมดอ่ะ ทั้งแง่การศึกษา การบริหาร ระดับยอดมนุษย์ทั้งนั้น ไม่ใช่คนรุ่นใหม่ที่ไม่เคยทำอะไรเลย,1
